Ticket_#,Customer_Complaint,Date,Date_month_year,Time,Received_Via,City,State,Zip_code,Status,Filing_on_Behalf_of_Someone,Complaint_Type,Status_Group,Cleaned_Complaint
250635,Comcast Cable Internet Speeds,22-04-2015,22-Apr-15,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,Closed,No,Internet Speed,Unresolved,comcast cable internet speeds
223441,Payment disappear - service got disconnected,04-08-2015,04-Aug-15,10:22:56 AM,Internet,Acworth,Georgia,30102,Closed,No,Service/Network,Unresolved,payment disappear  service got disconnected
242732,Speed and Service,18-04-2015,18-Apr-15,9:55:47 AM,Internet,Acworth,Georgia,30101,Closed,Yes,Internet Speed,Unresolved,speed and service
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,05-07-2015,05-Jul-15,11:59:35 AM,Internet,Acworth,Georgia,30101,Open,Yes,Other/Technical,Unresolved,comcast imposed a new usage cap of gb that punishes streaming
307175,Comcast not working and no service to boot,26-05-2015,26-May-15,1:25:26 PM,Internet,Acworth,Georgia,30101,Solved,No,Service/Network,Resolved,comcast not working and no service to boot
338519,ISP Charging for arbitrary data limits with overage fees,06-12-2015,06-Dec-15,9:59:40 PM,Internet,Acworth,Georgia,30101,Solved,No,Billing/Charges,Resolved,isp charging for arbitrary data limits with overage fees
361148,Throttling service and unreasonable data caps,24-06-2015,24-Jun-15,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,Pending,No,Service/Network,Unresolved,throttling service and unreasonable data caps
359792,Comcast refuses to help troubleshoot and correct my service.,23-06-2015,23-Jun-15,6:56:14 PM,Internet,Adrian,Michigan,49221,Solved,No,Service/Network,Resolved,comcast refuses to help troubleshoot and correct my service
318072,Comcast extended outages,06-01-2015,06-Jan-15,11:46:30 PM,Customer Care Call,Alameda,California,94502,Closed,No,Service/Network,Unresolved,comcast extended outages
371214,Comcast Raising Prices and Not Being Available To Ask Why,28-06-2015,28-Jun-15,6:46:31 PM,Customer Care Call,Alameda,California,94501,Open,Yes,Other/Technical,Unresolved,comcast raising prices and not being available to ask why
255938,Billing after service was asked to be disconnected,24-04-2015,24-Apr-15,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,Closed,No,Billing/Charges,Unresolved,billing after service was asked to be disconnected
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,05-06-2015,05-Jun-15,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No,Other/Technical,Unresolved,yahoo failure to restore email search feature
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,13-06-2015,13-Jun-15,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Open,Yes,Other/Technical,Unresolved,comcast violating open internet rules by blocking hbo go access on sony consoles
360178,Internet speed,23-06-2015,23-Jun-15,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,Solved,No,Internet Speed,Resolved,internet speed
376268,Internet Disconnects Every Night,30-06-2015,30-Jun-15,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No,Other/Technical,Resolved,internet disconnects every night
370137,Internet complaint,27-06-2015,27-Jun-15,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No,Other/Technical,Unresolved,internet complaint
363695,Internet Availability and Speed,24-06-2015,24-Jun-15,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,Solved,No,Internet Speed,Resolved,internet availability and speed
238694,Comcast owes me $65 and claims I need to return equipment I never had,16-04-2015,16-Apr-15,10:04:57 AM,Internet,Alexandria,Virginia,22304,Closed,No,Other/Technical,Unresolved,comcast owes me  and claims i need to return equipment i never had
230876,Horrible Internet Service,04-11-2015,04-Nov-15,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,Closed,No,Service/Network,Unresolved,horrible internet service
318725,Failure to provide services that I am billed for.,06-02-2015,06-Feb-15,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,Closed,No,Billing/Charges,Unresolved,failure to provide services that i am billed for
327657,Internet out all the time but they have a monopoly,06-07-2015,06-Jul-15,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,Solved,No,Other/Technical,Resolved,internet out all the time but they have a monopoly
328742,horrible cable service and customer service,06-08-2015,06-Aug-15,3:18:58 PM,Internet,Alexandria,Virginia,22312,Solved,No,Service/Network,Resolved,horrible cable service and customer service
328165,Speed,06-08-2015,06-Aug-15,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,Solved,No,Internet Speed,Resolved,speed
370538,Comcast monopoly bundling practices,27-06-2015,27-Jun-15,9:04:34 PM,Internet,Alexandria,Virginia,22304,Open,No,Other/Technical,Unresolved,comcast monopoly bundling practices
370363,COMCAST!,27-06-2015,27-Jun-15,6:37:29 PM,Internet,Alexandria,Virginia,22305,Solved,No,Other/Technical,Resolved,comcast
270163,bait and switch,05-02-2015,05-Feb-15,3:55:24 PM,Internet,Algonquin,Illinois,60102,Open,Yes,Other/Technical,Unresolved,bait and switch
355976,Comcast Customer Service,22-06-2015,22-Jun-15,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,Open,No,Service/Network,Unresolved,comcast customer service
260651,Apartment Management's Exclusivity Contract with Comcast,28-04-2015,28-Apr-15,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,Closed,No,Other/Technical,Unresolved,apartment managements exclusivity contract with comcast
305340,Unable to reach a Comcast agent for internet and billing issues.,24-05-2015,24-May-15,2:57:47 PM,Customer Care Call,Aloha,Oregon,97006,Solved,No,Billing/Charges,Resolved,unable to reach a comcast agent for internet and billing issues
360759,Wifi internet not working as well,24-06-2015,24-Jun-15,2:23:23 AM,Internet,Aloha,Oregon,97006,Pending,No,Other/Technical,Unresolved,wifi internet not working as well
265487,Comcast data caps,29-04-2015,29-Apr-15,9:40:19 PM,Internet,Alpharetta,Georgia,30022,Closed,No,Other/Technical,Unresolved,comcast data caps
296608,Comcast Internet Data Cap,19-05-2015,19-May-15,10:56:20 AM,Internet,Alpharetta,Georgia,30022,Solved,No,Other/Technical,Resolved,comcast internet data cap
310990,XFINITY Movers Edge program,28-05-2015,28-May-15,10:37:13 AM,Customer Care Call,Alpharetta,Georgia,30022,Solved,No,Other/Technical,Resolved,xfinity movers edge program
325342,Comcast Data Internet Usage,06-05-2015,06-May-15,1:25:58 PM,Internet,Alpharetta,Georgia,30022,Solved,No,Other/Technical,Resolved,comcast data internet usage
